country,quarter,profit_margin
philippines,1999Q2,20.88395631313324
philippines,1999Q3,20.446693897247314
philippines,1999Q4,-53.267322182655334
philippines,2000Q1,28.13574969768524
philippines,2000Q2,-3.304643303155899
philippines,2000Q3,18.5526622235775
philippines,2000Q4,14.82845628936775
philippines,2001Q1,21.11395001411438
philippines,2001Q2,0.5236252844333649
philippines,2001Q3,19.133018877357244
philippines,2001Q4,-19.158380676060915
philippines,2002Q1,33.02238109707832
philippines,2002Q2,-27.727842090651393
philippines,2002Q3,-26.1017684340477
philippines,2002Q4,29.198906123638153
philippines,2003Q1,-41.884694427251816
philippines,2003Q2,-45.60247629880905
philippines,2003Q3,15.738100051879883
philippines,2003Q4,15.23329371586442
philippines,2004Q1,6.730899751186371
philippines,2004Q2,12.49431848526001
philippines,2004Q3,6.962093234062195
philippines,2004Q4,5.441362455487251
philippines,2005Q1,24.73508770763874
philippines,2005Q2,23.95022487640381
philippines,2005Q3,6.197830460965633
philippines,2005Q4,33.54950678348541
philippines,2006Q1,38.37588748335838
philippines,2006Q2,33.57256841659546
philippines,2006Q3,92.12065771222115
philippines,2006Q4,12.660062573850155
philippines,2007Q1,29.68614375591278
philippines,2007Q2,32.017237931489944
philippines,2007Q3,29.82463151961565
philippines,2007Q4,66.02466167323291
philippines,2008Q1,26.52203118801117
philippines,2008Q2,69.561006128788
philippines,2008Q3,65.35844349861145
philippines,2008Q4,12.466168761253357
philippines,2009Q1,67.44589340686798
philippines,2009Q2,72.53955572843552
philippines,2009Q3,24.572599977254868
philippines,2009Q4,24.43598759546876
philippines,2010Q1,28.068694055080414
philippines,2010Q2,29.148981511592865
philippines,2010Q3,25.413143575191498
philippines,2010Q4,2.9227682054042816
philippines,2011Q1,25.39426898956299
philippines,2011Q2,25.444893777370453
poland,1999Q2,6.789000034332275
poland,1999Q4,7.3919501304626465
poland,2001Q2,15.681050300598145
poland,2001Q4,19.278799057006836
poland,2002Q2,12.890199661254883
poland,2002Q4,19.2281494140625
poland,2007Q1,7.034900188446045
poland,2007Q2,19.94885015487671
poland,2007Q3,7.034900188446045
poland,2007Q4,21.218400478363037
poland,2008Q1,8.069250106811523
poland,2008Q2,20.087650299072266
poland,2008Q3,9.993200302124023
poland,2008Q4,17.017199516296387
poland,2009Q1,5.447450160980225
poland,2009Q2,11.46845006942749
poland,2009Q3,6.0216498374938965
poland,2009Q4,14.790999412536621
poland,2010Q1,10.704449653625488
poland,2010Q2,23.2697491645813
poland,2010Q3,7.922850131988525
poland,2010Q4,17.853349685668945
poland,2011Q1,5.079750061035156
russia,2001Q4,0.364199991579409
