country,quarter,CR3_q,HHI_q,n_bancos
indonesia,2007Q4,0.7900214502679759,2597.4459466055323,4
indonesia,2008Q1,0.8016142300717384,2628.121214253333,4
indonesia,2008Q2,0.814949533222965,2631.001517314807,4
indonesia,2008Q3,0.8086445854818662,2602.989480127902,4
indonesia,2008Q4,0.8101098727206306,2615.5270128851553,4
indonesia,2009Q1,0.8070738335427363,2614.30782921167,5
indonesia,2009Q2,0.8067592833898796,2596.073415997857,5
indonesia,2009Q3,0.8112039453778904,2598.473408842817,5
indonesia,2009Q4,0.8136402823309683,2603.3968966865446,5
indonesia,2010Q1,0.8116368974756981,2585.066566250811,5
indonesia,2010Q2,0.8185409181022538,2601.8173493092,5
indonesia,2010Q3,0.8164382499268036,2581.9717332855626,5
indonesia,2010Q4,0.8191115167594768,2581.7914510698374,5
indonesia,2011Q1,0.8218606315886658,2591.444982504296,5
indonesia,2011Q2,0.8228621960463703,2602.9184918411115,5
indonesia,2011Q3,0.8165601725184537,2585.328195609039,5
indonesia,2011Q4,0.8200029129133668,2587.2893948526444,5
indonesia,2012Q1,0.8189810221902566,2589.839528426262,5
indonesia,2012Q2,0.8222123344760668,2588.4255337670324,5
indonesia,2012Q3,0.8158149863578978,2577.297321345362,5
indonesia,2012Q4,0.8228113440517596,2588.372481248335,5
indonesia,2013Q1,0.8243134471446788,2597.308621522429,5
indonesia,2013Q2,0.8285060046050006,2606.1458371262497,5
indonesia,2013Q3,0.824019595064146,2600.958694089431,5
indonesia,2013Q4,0.8239672378453364,2595.661075545693,5
indonesia,2014Q1,0.821186032135103,2596.292214642172,5
indonesia,2014Q2,0.8260440086434908,2602.6372868699573,5
indonesia,2014Q3,0.8192256037849712,2589.804037694803,5
indonesia,2014Q4,0.8270951186824085,2611.854327744808,5
indonesia,2015Q1,0.8349448230927525,2646.165994578101,5
indonesia,2015Q2,0.8391535983458475,2658.7971493240675,5
indonesia,2015Q3,0.8330914898738963,2647.2817179089056,5
indonesia,2015Q4,0.82708678026941,2622.151813459473,5
